Node,NextNode
1,851
851,28
28,186
186,914
914,527
527,475
475,245
245,846
846,680
680,117
117,460
460,93
93,561
561,706
706,164
164,981
981,651
651,75
75,546
546,283
283,49
49,580
580,280
280,152
152,842
842,707
707,112
112,910
910,903
903,40
40,98
98,840
840,573
573,856
856,974
974,251
251,204
204,497
497,654
654,101
101,672
672,439
439,233
233,552
552,321
321,180
180,382
382,797
797,430
430,736
736,363
363,78
78,13
13,801
801,243
243,541
541,532
532,68
68,315
315,668
668,854
854,533
533,711
711,802
802,43
43,779
779,160
160,64
64,582
582,960
960,303
303,48
48,702
702,756
756,549
549,771
771,386
386,900
900,970
970,52
52,477
477,859
859,145
145,768
768,943
943,174
174,979
979,632
632,371
371,210
210,433
433,206
206,260
260,298
298,800
800,403
403,405
405,341
341,212
212,294
294,890
890,135
135,633
633,915
915,253
253,556
556,857
857,590
590,261
261,835
835,641
641,608
608,824
824,924
924,704
704,588
588,432
432,602
602,416
416,231
231,997
997,795
795,140
140,631
631,496
496,812
812,259
259,714
714,146
146,195
195,839
839,694
694,312
312,982
982,989
989,516
516,767
767,30
30,761
761,969
969,620
620,434
434,772
772,614
614,111
111,861
861,636
636,678
678,534
534,153
153,47
47,858
858,600
600,980
980,169
169,967
967,643
643,904
904,939
939,365
365,143
143,830
830,819
819,250
250,247
247,883
883,340
340,119
119,733
733,19
19,62
62,156
156,971
971,197
197,735
735,6
6,911
911,934
934,387
387,799
799,324
324,741
741,649
649,491
491,188
188,472
472,838
838,82
82,973
973,818
818,279
279,922
922,719
719,451
451,794
794,958
958,587
587,965
965,754
754,572
572,1000
1000,436
436,709
709,617
617,308
308,892
892,645
645,518
518,592
592,288
288,699
699,524
524,335
335,205
205,605
605,505
505,988
988,374
374,114
114,778
778,931
931,639
639,563
563,162
162,951
951,290
290,747
747,806
806,297
297,759
759,623
623,320
320,72
72,254
254,613
613,570
570,369
369,189
189,136
136,729
729,521
521,105
105,855
855,774
774,354
354,400
400,604
604,438
438,695
695,627
627,241
241,183
183,520
520,591
591,494
494,124
124,262
262,725
725,948
948,275
275,348
348,109
109,687
687,417
417,413
413,793
793,555
555,681
681,225
225,710
710,929
929,168
168,79
79,977
977,502
502,593
593,831
831,683
683,88
88,256
256,571
571,166
166,453
453,409
409,232
232,163
163,688
688,191
191,237
237,292
292,701
701,640
640,865
865,837
837,317
317,675
675,420
420,74
74,228
228,488
488,366
366,107
107,836
836,792
792,728
728,954
954,242
242,558
558,485
485,891
891,229
229,872
872,666
666,638
638,227
227,177
177,265
265,357
357,769
769,440
440,781
781,677
677,548
548,877
877,511
511,252
252,864
864,58
58,271
271,171
171,894
894,557
557,331
331,583
583,599
599,398
398,901
901,414
414,116
116,936
936,732
732,993
993,258
258,566
566,535
535,147
147,821
821,353
353,161
161,375
375,938
938,897
897,351
351,866
866,115
115,372
372,715
715,618
618,822
822,949
949,463
463,503
503,940
940,889
889,679
679,131
131,106
106,301
301,659
659,667
667,217
217,644
644,875
875,355
355,454
454,70
70,23
23,209
209,360
360,565
565,882
882,452
452,128
128,203
203,764
764,118
118,925
925,15
15,536
536,194
194,762
762,408
408,752
752,4
4,848
848,45
45,994
994,547
547,87
87,17
17,963
963,992
992,226
226,346
346,467
467,190
190,597
597,464
464,33
33,149
149,328
328,218
218,286
286,896
896,32
32,596
596,99
99,730
730,137
137,486
486,908
908,612
612,25
25,59
59,616
616,455
455,442
442,12
12,295
295,770
770,755
755,159
159,727
727,333
333,734
734,390
390,281
281,92
92,397
397,862
862,16
16,293
293,743
743,291
291,990
990,362
362,665
665,962
962,95
95,932
932,873
873,173
173,479
479,850
850,287
287,304
304,322
322,508
508,753
753,18
18,820
820,718
718,179
179,223
223,484
484,268
268,345
345,176
176,803
803,394
394,428
428,827
827,234
234,211
211,370
370,155
155,71
71,933
933,361
361,113
113,388
388,898
898,942
942,671
671,498
498,412
412,621
621,537
537,85
85,595
595,673
673,73
73,257
257,878
878,746
746,543
543,594
594,401
401,457
457,629
629,692
692,480
480,808
808,506
506,528
528,773
773,845
845,462
462,444
444,7
7,276
276,642
642,682
682,384
384,780
780,786
786,429
429,987
987,750
750,996
996,421
421,509
509,196
196,805
805,726
726,246
246,670
670,813
813,244
244,215
215,567
567,255
255,427
427,540
540,201
201,125
125,376
376,151
151,554
554,38
38,492
492,267
267,24
24,782
782,27
27,912
912,489
489,959
959,562
562,3
3,619
619,61
61,834
834,126
126,843
843,478
478,887
887,849
849,601
601,364
364,487
487,888
888,127
127,871
871,879
879,751
751,350
350,937
937,823
823,67
67,349
349,396
396,568
568,325
325,648
648,54
54,471
471,804
804,657
657,76
76,685
685,423
423,985
985,716
716,946
946,285
285,957
957,263
263,738
738,450
450,686
686,418
418,538
538,377
377,731
731,815
815,522
522,500
500,983
983,935
935,83
83,927
927,544
544,65
65,175
175,224
224,356
356,208
208,833
833,603
603,133
133,869
869,347
347,984
984,34
34,249
249,213
213,874
874,282
282,676
676,274
274,664
664,14
14,607
607,200
200,490
490,69
69,852
852,235
235,515
515,55
55,236
236,880
880,868
868,466
466,700
700,178
178,44
44,569
569,705
705,473
473,170
170,712
712,884
884,784
784,886
886,775
775,343
343,392
392,637
637,690
690,976
976,647
647,380
380,367
367,220
220,576
576,697
697,653
653,807
807,431
431,248
248,182
182,385
385,972
972,853
853,273
273,656
656,519
519,918
918,867
867,523
523,493
493,102
102,302
302,389
389,964
964,336
336,20
20,35
35,999
999,383
383,319
319,945
945,110
110,50
50,531
531,811
811,542
542,610
610,662
662,615
615,103
103,829
829,944
944,314
314,586
586,419
419,720
720,313
313,539
539,598
598,474
474,445
445,391
391,132
132,652
652,342
342,77
77,863
863,526
526,323
323,129
129,26
26,669
669,966
966,379
379,696
696,447
447,425
425,311
311,920
920,358
358,832
832,202
202,167
167,578
578,399
399,895
895,826
826,881
881,995
995,630
630,788
788,199
199,198
198,691
691,721
721,395
395,628
628,660
660,339
339,885
885,758
758,424
424,760
760,459
459,844
844,96
96,94
94,219
219,791
791,609
609,575
575,930
930,123
123,816
816,655
655,277
277,230
230,796
796,39
39,415
415,961
961,860
860,327
327,120
120,122
122,56
56,187
187,468
468,2
2,437
437,269
269,299
299,411
411,689
689,352
352,790
790,465
465,926
926,684
684,240
240,661
661,407
407,703
703,284
284,97
97,919
919,456
456,693
693,461
461,952
952,765
765,426
426,902
902,757
757,181
181,11
11,29
29,810
810,483
483,307
307,5
5,499
499,495
495,626
626,404
404,86
86,378
378,90
90,138
138,947
947,956
956,739
739,80
80,410
410,338
338,373
373,150
150,748
748,611
611,154
154,448
448,650
650,708
708,51
51,31
31,913
913,37
37,309
309,184
184,955
955,316
316,100
100,443
443,589
589,551
551,953
953,909
909,513
513,950
950,330
330,777
777,658
658,986
986,300
300,381
381,814
814,530
530,635
635,560
560,368
368,817
817,674
674,134
134,906
906,41
41,406
406,510
510,550
550,622
622,393
393,847
847,10
10,923
923,905
905,289
289,402
402,326
326,744
744,545
545,272
272,723
723,334
334,66
66,89
89,893
893,978
978,899
899,296
296,278
278,559
559,624
624,22
22,787
787,634
634,975
975,139
139,828
828,158
158,785
785,941
941,991
991,482
482,222
222,318
318,449
449,193
193,344
344,337
337,148
148,722
722,737
737,53
53,504
504,207
207,749
749,916
916,21
21,435
435,581
581,625
625,266
266,165
165,907
907,763
763,172
172,8
8,841
841,141
141,740
740,57
57,214
214,306
306,46
46,144
144,529
529,574
574,783
783,789
789,305
305,332
332,809
809,42
42,63
63,577
577,525
525,359
359,584
584,481
481,717
717,766
766,663
663,446
446,422
422,512
512,121
121,776
776,917
917,579
579,60
60,239
239,264
264,216
216,270
270,221
221,745
745,91
91,104
104,130
130,469
469,553
553,142
142,968
968,470
470,870
870,84
84,564
564,724
724,517
517,585
585,606
606,507
507,476
476,825
825,928
928,238
238,81
81,157
157,742
742,998
998,514
514,876
876,921
921,698
698,501
501,713
713,458
458,441
441,329
329,9
9,310
310,36
36,646
646,108
108,192
192,798
798,185
185,1

Total weight of the route,3569
Sum of all edge weights in the graph,248352320
Execution time (seconds),14135
